City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
240,Oktyabrskoye,RU,2021-08-08 22:32:09,43.0645,44.7417,68.14,94,11,2.24,few clouds
241,Guerrero Negro,MX,2021-08-08 22:32:09,27.9769,-114.0611,78.78,60,5,15.37,clear sky
242,Alyangula,AU,2021-08-08 22:32:10,-13.8483,136.4192,66.07,94,40,0.0,scattered clouds
243,Winnemucca,US,2021-08-08 22:27:11,40.973,-117.7357,91.45,11,90,13.8,haze
244,Placerville,US,2021-08-08 22:32:11,38.7296,-120.7986,97.54,20,1,8.05,clear sky
245,Orotukan,RU,2021-08-08 22:32:11,62.2667,151.7,57.7,61,68,4.43,broken clouds
246,Atar,MR,2021-08-08 22:32:11,20.5169,-13.0499,94.8,27,7,3.33,clear sky
247,Omboue,GA,2021-08-08 22:32:12,-1.5746,9.2618,73.08,87,56,7.25,broken clouds
248,Hukuntsi,BW,2021-08-08 22:32:12,-24.0,21.75,59.54,22,1,11.1,clear sky
249,Norman Wells,CA,2021-08-08 22:32:13,65.282,-126.8329,55.44,62,75,12.66,broken clouds
250,Bagua Grande,PE,2021-08-08 22:32:13,-5.7561,-78.4411,86.04,47,27,5.21,scattered clouds
251,Atambua,ID,2021-08-08 22:32:13,-9.1061,124.8925,71.44,76,9,3.62,clear sky
252,Batagay,RU,2021-08-08 22:32:14,67.6333,134.6333,75.22,32,16,2.06,few clouds
253,Bilibino,RU,2021-08-08 22:32:14,68.0546,166.4372,58.89,34,81,1.5,broken clouds
254,Ishigaki,JP,2021-08-08 22:32:15,24.3448,124.1572,80.73,100,75,2.3,broken clouds
255,Cabatuan,PH,2021-08-08 22:32:15,10.8794,122.486,79.0,84,99,1.63,light rain
256,Jacareacanga,BR,2021-08-08 22:32:16,-6.2222,-57.7528,85.17,35,40,1.57,scattered clouds
257,Saldanha,ZA,2021-08-08 22:32:16,-33.0117,17.9442,55.45,89,100,19.77,light rain
258,Algeciras,ES,2021-08-08 22:32:17,36.1333,-5.4505,74.88,50,0,8.05,clear sky
